name	nickname
Catherine	Cathy
Catherine	Catie
Catherine	Caty
Catherine	Kate
Catherine	Katie
Cathy	Cathi
Cathy	Cathie
Cecilia	Ceecee
Cecilia	Sissy
Cecily	Cecie
Chadwick	Chad
Charlene	Charley
Charlene	Charlie
Charles	Chad
Charles	Charley
Charles	Charlie
Charles	Chas
Charles	Chaz
Charles	Chip
Charles	Chuck
Charlotte	Charley
Charlotte	Charlie
Charlotte	Lottie
Chauncey	Chance
Cherilyn	Cher
Chester	Chet
Christian	Chris
Christian	Kris
Christie	Christy
Christie	Kristi
Christie	Kristie
Christie	Kristy
Christina	Chris
Christina	Chrissie
Christina	Chrissy
Christina	Christy
Christina	Kris
Christina	Krissy
Christina	Kristi
Christina	Kristie
Christina	Kristy
Christine	Chris
Christine	Chrissie
Christine	Chrissy
Christine	Christie
Christine	Krissy
Christopher	Chip
Christopher	Chris
Christopher	Christie
Christopher	Kit
Christopher	Kris
Chuck	Chuckie
Chuck	Chucky
Clayton	Clay
Clement	Clem
Clement	Clemmie
Clementine	Clem
Clifford	Cliff
Clinton	Clint
Conor	Con
Constance	Connie
Cora	Corrie
Corinne	Corrie
Cornelia	Corrie
Cornelius	Con
Curtis	Curt
Cynthia	Cindy
Cyril	Cy
Cyrus	Cy
Daniel	Dan
Daniel	Dani
Daniel	Danny
Daniela	Danny
Daniella	Danny
Danielle	Dani
Danielle	Danni
Danielle	Danny
Danny	Dan
Danny	Dani
Danny	Dannie
David	Dave
David	Davey
David	Davie
David	Davo
David	Davy
Deborah	Deb
Deborah	Debbie
Deborah	Debby
Debra	Deb
Debra	Debbie
Debra	Debby
Denis	Denny
Dennis	Den
Dennis	Denny
Derek	Del
Dermot	Jeremy
Desmond	Des
Diana	Di
Diane	Di
Diarmaid	Dermot
Diarmaid	Jeremy
Diarmid	Dermot
Diarmid	Diarmi
Diarmid	Jeremy
Diarmuid	Dermot
Diarmuid	Jeremy
Dick	Dickie
Dolores	Dolly
Dominic	Dom
Don	Donnie
Don	Donny
Donald	Don
Donald	Donnie
Donald	Donny
Donovan	Donny
Dorothy	Dodie
Dorothy	Doll
Dorothy	Dolly
Dorothy	Dot
Douglas	Doug
Douglas	Dougie
Duncan	Dunky
Eben	Ebbie
Ebenezer	Ebbie
Eberhard	Ebbe
Ed	Eddie
Ed	Eddy
Edgar	Ed
Edgar	Eddie
Edgar	Eddy
Edward	Ed
Edward	Eddie
Edward	Eddy
Edward	Ned
Edward	Ted
Edward	Teddie
Edward	Teddy
Edwin	Ed
Edwin	Eddie
Edwin	Eddy
Elbert	Elbie
Eleanor	Ellie
Eleanor	Nell
Eleanor	Nellie
Eleanor	Nelly
Elias	Eli
Elijah	Eli
Elisabeth	Beth
Elizabeth	Bess
Elizabeth	Bessie
Elizabeth	Bessy
Elizabeth	Beth
Elizabeth	Betsy
Elizabeth	Bette
Elizabeth	Betty
Elizabeth	Ellie
Elizabeth	Izzy
Elizabeth	Libby
Elizabeth	Lilibet
Elizabeth	Liz
Elizabeth	Lizzie
Elizabeth	Lizzy
Ellen	Nell
Emily	Em
Emily	Emmie
Emily	Emmy
Emily	Millie
Emily	Milly
Emma	Em
Emma	Emmie
Emma	Emmy
Emmanuel	Mannie
Emmanuel	Manny
Emmy	Emmie
Enrico	Rico
Ernest	Ernie
Esther	Essie
Esther	Hettie
Esther	Hetty
Ethel	Eth
Eugene	Gene
Euphemia	Effie
Euphemia	Phemie
Eva	Evie
Evangeline	Evie
Eve	Evie
Evelyn	Evie
Evelyn	Lyn
Ezekiel	Zeke
Faith	Fay
Fay	Faye
Felicity	Fliss
Ferdinand	Ferd
Ferdinand	Ferdie
Ferdinand	Ferdy
Ferdinand	Nandy
Fernando	Nando
Fiona	Fi
Flora	Flo
Flora	Florrie
Florence	Flo
Florence	Florrie
Florence	Flossie
Florence	Flossy
Florence	Floy
Frances	Fannie
Frances	Fanny
Frances	Fay
Frances	Fran
Frances	Francie
Frances	Frannie
Frances	Franny
Francine	Fran
Francine	Francie
Francine	Frannie
Francine	Franny
Francis	Fran
Francis	Frank
Francis	Frankie
Franklin	Frank
Franklin	Frankie
Frederick	Fred
Frederick	Freddie
Frederick	Freddy
Gabriel	Gabby
Gabriel	Gabe
Gabriela	Gabby
Gabriella	Gabby
Gabrielle	Gabby
Gail	Gayle
Gareth	Gar
Gareth	Gare
Gareth	Gary
Gary	Gar
Gary	Gare
Gavin	Gav
Geoffrey	Geoff
George	Geordie
George	Georgie
Georgia	George
Georgina	George
Georgina	Georgie
Georgina	Gina
Gerald	Gerry
Gerald	Jerry
Geraldine	Geri
Geraldine	Gerri
Geraldine	Gerry
Geraldine	Jeri
Geraldine	Jerri
Geraldine	Jerry
Gerard	Ged
Gerard	Gerry
Gerard	Jerry
Gertrude	Gertie
Gertrude	Trudie
Gertrude	Trudy
Gilbert	Gil
Gilford	Gil
Gillian	Gill
Gina	Gena
Ginevra	Ginny
Ginger	Ging
Giusippe	Joe
Gordon	Don
Gordon	Gordie
Gordon	Gordy
Grace	Gracie
Gregor	Greg
Gregory	Greg
Gregory	Gregg
Greig	Greg
Gustav	Gus
Hallie	Hally
Harold	Hal
Harold	Harry
Harriet	Hallie
Harriet	Hally
Harriet	Hattie
Harry	Hal
Harvey	Harve
Heathcliff	Heath
Helen	Nell
Helen	Nellie
Helen	Nelly
Henricus	Harry
Henrietta	Etta
Henrietta	Hettie
Henrietta	Hetty
Henry	Hal
Henry	Hank
Henry	Harry
Herbert	Herb
Herbert	Herbie
Hester	Hettie
Hester	Hetty
Hetty	Hettie
Howard	Howie
Hugh	Huey
Hugh	Hughie
Humphrey	Huffie
Ienken	Jill
Ignacio	Nacho
Ignacio	Nacio
Immanuel	Mannie
Immanuel	Manny
Indiana	Indy
Isaac	Ike
Isabel	Bel
Isabel	Bell
Isabel	Isy
Isabel	Izzie
Isabel	Izzy
Isabella	Bel
Isabella	Bell
Isabella	Bella
Isabella	Isy
Isabella	Izzie
Isabella	Izzy
Isabelle	Bel
Isabelle	Bell
Isabelle	Belle
Isabelle	Isy
Isabelle	Izzie
Isabelle	Izzy
Isidore	Dore
Isidore	Izzy
Isobel	Bel
Isobel	Bell
Isobel	Isy
Isobel	Izzie
Isobel	Izzy
Ivan	Van
Jack	Jackie
Jack	Jacko
Jack	Jacky
Jack	Jak
Jacob	Jake
Jacqueline	Jackie
Jacqueline	Jacky
Jacqueline	Jacqui
Jacquelyn	Jackie
James	Jake
James	Jamey
James	Jamie
James	Jay
James	Jem
James	Jim
James	Jimbo
James	Jimi
James	Jimmer
James	Jimmie
James	Jimmy
Jane	Janey
Jane	Janie
Jane	Jennie
Jane	Jenny
Janet	Jan
Janet	Jessie
Janice	Jan
Jasmine	Jas
Jasmine	Jaz
Jason	Jace
Jason	Jay
Jean	Jeanie
Jean	Jeannie
Jeannette	Nettie
Jedidiah	Jed
Jeffery	Jeff
Jeffrey	Jeff
Jemima	Jem
Jennifer	Jen
Jennifer	Jenn
Jennifer	Jenni
Jennifer	Jennie
Jennifer	Jenny
Jeremiah	Jem
Jeremiah	Jeremy
Jeremiah	Jerry
Jeremy	Jem
Jeremy	Jerry
Jeremy	Jez
Jerilyn	Jeri
Jerilyn	Jerri
Jerilyn	Jerry
Jerrold	Jerry
Jesse	Jess
Jessica	Jess
Jessica	Jessie
Jessie	Jesse
Jill	Jilly
Jillian	Jilly
Jim	Jimmy
Jimmy	Jim
Jimmy	Jimi
Jo	Jodi
Jo	Jodie
Jo	Jody
Joan	Jo
Joanna	Jo
Joanna	Jojo
Joanne	Jojo
Joe	Jo
Joe	Jody
Joe	Joey
Johannes	Joh
John	Jackie
John	Jacky
John	Johnnie
John	Johnny
John	Jon
Jonathan	Jon
Jonathan	Jonty
Joseph	Jo
Joseph	Jody
Joseph	Joe
Joseph	Joey
Joseph	Pepe
Josephine	Jo
Josephine	Josie
Joshua	Josh
Judith	Jodi
Judith	Jodie
Judith	Jody
Judith	Judie
Judith	Judy
Judy	Judie
Julia	Jilly
Julia	Juley
Juliana	Julie
June	Junie
Kate	Cate
Katharine	Kat
Katherine	Kat
Katherine	Kate
Katherine	Kath
Katherine	Kathi
Katherine	Kathie
Katherine	Kathy
Katherine	Kati
Katherine	Katy
Katherine	Kay
Katherine	Kit
Katherine	Kitty
Kathleen	Kath
Kathleen	Kathy
Kathryn	Kat
Kathryn	Kate
Kathryn	Kath
Kathryn	Kathi
Kathryn	Kathie
Kathryn	Kathy
Kathryn	Kati
Kathryn	Katy
Kathryn	Kay
Kathryn	Kit
Kathryn	Kitty
Kathy	Kathi
Kathy	Kathie
Katie	Caty
Katie	Kati
Kay	Kaye
Kennedy	Ken
Kennedy	Kenny
Kenneth	Ken
Kenneth	Kenny
Kerry	Kez
Kester	Kit
Kevin	Kev
Kimberley	Kimmy
Kimberly	Kimmy
Kipling	Kip
Kristina	Kris
Kristina	Krissie
Kristina	Krissy
Kristine	Krissy
Kurt	Curt
Kurtis	Kurt
Lafayette	Lafe
Laura	Lauri
Laura	Laurie
Laura	Lorie
Laurence	Larry
Laurence	Lauren
Laurence	Laurie
Laurence	Law
Laurie	Lauri
Laurie	Lorie
Lavinia	Vinnie
Lawrence	Larry
Lawrence	Lauren
Lawrence	Laurie
Lawrence	Law
Lawrence	Lawrie
Leo	Lee
Leonard	Len
Leonard	Lenny
Leopold	Leo
Leroy	Lee
Leslie	Les
Lester	Les
Letitia	Lettie
Letitia	Letty
Letitia	Tish
Letitia	Tisha
Letitia	Titty
Lilian	Lil
Lillian	Lil
Lillian	Lillie
Lillian	Lilly
Lily	Lillie
Lily	Lilly
Linda	Lindie
Linda	Lindy
Lindsay	Lindie
Lindsay	Lindy
Louis	Lou
Louis	Louie
Louisa	Lou
Louisa	Lula
Louisa	Lulu
Louise	Lou
Louise	Lulu
Lucinda	Cindy
Lucy	Lu
Lucy	Lulu
Luke	Lucky
Luzviminda	Luz
Lydia	Liddy
Lynn	Lynne
Madeleine	Maddy
Madonna	Madge
Magdalene	Maddy
Maggie	Mags
Mamie	Mayme
Marcus	Marc
Margaret	Madge
Margaret	Mae
Margaret	Maggie
Margaret	Mags
Margaret	Maisie
Margaret	Marge
Margaret	Margie
Margaret	May
Margaret	Meg
Margaret	Meggie
Margaret	Peg
Margaret	Peggy
Margerita	Rita
Marilla	Rilla
Mark	Marky
Martha	Marty
Martha	Mattie
Martha	Matty
Martin	Marty
Martina	Marty
Marvin	Marv
Mary	Jo
Mary	Mae
Mary	Mamie
Mary	May
Mary	Mayme
Mary	Mollie
Mary	Polly
Matilda	Mattie
Matilda	Matty
Matilda	Tillie
Matilda	Tilly
Matthew	Mat
Matthew	Matt
Matthew	Matty
Mattie	Matty
Maud	Maudie
Maude	Maudie
Maurice	Mo
Maurice	Moe
Maurice	Mossie
Mavis	Mamie
Max	Mac
Max	Mack
Max	Maxie
Max	Maxy
Maximilian	Max
Maxine	Maxie
Maxine	Maxy
Maxwell	Max
Megan	Meg
Megan	Meggie
Melanie	Mel
Melinda	Mel
Melinda	Mendy
Melinda	Mindy
Melissa	Mel
Melissa	Missy
Melody	Mel
Melvin	Mel
Melvyn	Mel
Mervin	Merv
Mervyn	Merv
Michael	Mick
Michael	Mickey
Michael	Micky
Michael	Mike
Michael	Mikey
Michaela	Mickey
Michaela	Micky
Michelle	Micky
Michelle	Shell
Mick	Mickey
Mick	Micky
Mikaela	Mickey
Mikaela	Micky
Mike	Mickey
Mike	Micky
Mike	Mikey
Mildred	Millie
Mildred	Milly
Millicent	Millie
Millicent	Milly
Miranda	Mindy
Miranda	Randy
Mitchell	Mitch
Molly	Mollie
Molly	Polly
Montague	Monty
Montgomery	Monty
Morris	Mo
Morris	Moe
Mortimer	Mort
Morton	Mort
Moses	Mo
Moses	Moe
Moshe	Moishy
Murdoch	Murdy
Nancy	Nan
Nancy	Nance
Natalie	Nat
Natalie	Talie
Natalya	Nat
Natasha	Nat
Natasha	Tash
Natasha	Tasha
Nathan	Nat
Nathan	Nate
Nathanael	Nat
Nathanael	Nate
Nathaniel	Nat
Nathaniel	Nate
Nellie	Nelly
Newton	Newt
Nichola	Nic
Nicholas	Coll
Nicholas	Nic
Nicholas	Nick
Nicholas	Nicky
Nicola	Nic
Nicola	Nicki
Nicola	Nicky
Nicola	Nikki
Nicole	Nic
Nicole	Nicki
Nicole	Nicky
Nicole	Nikki
Noreen	Norrie
Norette	Norrie
Norlaily	Laily
Norman	Norm
Olive	Ollie
Oliver	Oli
Oliver	Ollie
Olivia	Livvy
Olivia	Ollie
Olwen	Ollie
Oswald	Ozzie
Oswald	Ozzy
Pamela	Pam
Pamela	Pammy
Patricia	Pat
Patricia	Patsy
Patricia	Patti
Patricia	Patty
Patricia	Tricia
Patricia	Trish
Patricia	Trisha
Patricia	Trixie
Patrick	Paddy
Patrick	Pat
Patrick	Patsy
Patterson	Pat
Patty	Patti
Paul	Paulie
Peggy	Peg
Penelope	Penny
Perceval	Perce
Perceval	Percy
Percival	Perce
Percival	Percy
Peregrine	Perry
Peter	Pete
Peter	Petey
Philip	Phil
Philip	Pip
Philippa	Phil
Philippa	Pip
Philippa	Pippa
Phillip	Phil
Phillip	Pip
Philomena	Phil
Priscilla	Prissy
Prudence	Prue
Quincy	Quin
Quinton	Quin
Rachel	Rae
Rachel	Ray
Rae	Dannie
Rae	Ray
Rajendra	Raj
Ralph	Ralphie
Randall	Randy
Randolph	Randy
Raphael	Ralph
Raphael	Raph
Ray	Rae
Raymond	Ray
Rebecca	Becca
Rebecca	Becki
Rebecca	Becky
Rebecca	Beki
Regina	Gina
Reginald	Reg
Reginald	Reggie
Reuben	Rube
Ricardo	Rick
Ricardo	Rico
Richard	Dick
Richard	Dickey
Richard	Dickie
Richard	Dickon
Richard	Dicky
Richard	Hick
Richard	Rich
Richard	Richie
Richard	Rick
Richard	Rickey
Richard	Ricki
Richard	Rickie
Richard	Ricky
Rickie	Ricki
Ricky	Rickey
Ricky	Ricki
Robbie	Rabbie
Robert	Bob
Robert	Bobbi
Robert	Bobbie
Robert	Bobby
Robert	Rabbie
Robert	Rob
Robert	Robbie
Robert	Robby
Roberta	Bobbi
Roberta	Bobbie
Roberta	Bobby
Roberta	Robbi
Roberta	Robby
Rocco	Rocky
Roderick	Rod
Rodney	Rod
Roger	Rog
Ronald	Ron
Ronald	Ronnie
Ronald	Ronny
Ronnie	Ronny
Rose	Rosie
Rosemary	Rose
Rosemary	Rosie
Roxana	Roxy
Roxane	Roxy
Roxanne	Roxy
Rudolph	Rudy
Russell	Russ
Saffron	Saffy
Sally	Sal
Salvador	Sal
Samantha	Sam
Samantha	Sammi
Samantha	Sammie
Samantha	Sammy
Samson	Sam
Samuel	Sal
Samuel	Sam
Samuel	Sammie
Samuel	Sammy
Sandra	Sandy
Sarah	Sadie
Sarah	Sallie
Sarah	Sally
Sathamoney	Sath
Scott	Scottie
Scott	Scotty
Sebastian	Bastian
Sebastian	Seb
Sharon	Shaz
Shelley	Shelly
Shirley	Shirl
Shlomo	Shloime
Siddharth	Sid
Siddhartha	Sid
Sidney	Sid
Simeon	Sim
Simon	Si
Simon	Sim
Solomon	Sol
Spencer	Spence
Stacey	Stace
Stanford	Stan
Stanislas	Stan
Stanislav	Stan
Stanislaw	Stan
Stanley	Stan
Stephanie	Stef
Stephanie	Steff
Stephanie	Steffi
Stephanie	Steffie
Stephanie	Steffy
Stephanie	Steph
Stephanie	Stephie
Stephanie	Steve
Stephanie	Stevie
Stephen	Steenie
Stephen	Steve
Stephen	Stevie
Steven	Steve
Steven	Stevie
Stewart	Stew
Stewart	Stewie
Stuart	Stu
Susan	Su
Susan	Sue
Susan	Susie
Susan	Susy
Susan	Suzi
Susan	Suzie
Susan	Suzy
Susanna	Suze
Suzanne	Suze
Sydney	Sid
Sydney	Syd
Sylvester	Sly
Tallulah	Lula
Tammy	Tammie
Teddy	Teddie
Terence	Tel
Terence	Terry
Teresa	Terri
Teresa	Terrie
Teresa	Terry
Teresa	Tess
Terry	Terri
Terry	Terrie
Thaddaeus	Tad
Thaddaeus	Thad
Thaddaeus	Thady
Thaddeus	Tad
Thaddeus	Thad
Thaddeus	Thady
Theodora	Theo
Theodore	Ted
Theodore	Teddie
Theodore	Teddy
Theodore	Theo
Theresa	Teri
Theresa	Terry
Theresa	Tessy
Thomas	Thom
Thomas	Tom
Thomas	Tommy
Timon	Tim
Timothy	Tim
Timothy	Timmy
Tisha	Tish
Tobiah	Toby
Tobias	Toby
Tracy	Trace
Trevor	Trev
Trudy	Trudi
Trudy	Trudie
Tyler	Ty
Tyron	Ty
Tyrone	Ty
Tyson	Ty
Valda	Val
Valentine	Val
Valeria	Val
Valerie	Val
Valerius	Val
Vance	Van
Vernon	Vern
Victor	Vic
Victor	Vick
Victoria	Vic
Victoria	Vickey
Victoria	Vicki
Victoria	Vickie
Victoria	Vicky
Victoria	Vikki
Vincent	Vin
Vincent	Vince
Vincent	Vinnie
Viola	Vi
Violet	Vi
Virginia	Ging
Virginia	Ginny
Vivian	Viv
Wallace	Wally
Walter	Wally
Walter	Walt
Wesley	Wes
Wilber	Wil
Wilber	Will
Wilbur	Wil
Wilbur	Will
Wilford	Wil
Wilford	Will
Wilfred	Fred
Wilfred	Wil
Wilfred	Wilf
Wilfred	Will
Wilhelmina	Minnie
Wilhelmina	Willie
Willard	Wil
Willard	Will
William	Bill
William	Billy
William	Will
William	Willie
William	Willy
Winifred	Winnie
Winston	Winnie
Woodrow	Woody
Zachariah	Zack
Zachariah	Zak
Zachary	Zach
Zachary	Zack
Zachary	Zak
Zedekiah	Zed
